<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
US1.AAPL;D;01/06/21;000000;125.0800000;125.3500000;123.9400000;124.3000000;2708254
US1.AAPL;D;02/06/21;000000;124.2900000;125.2300000;124.0500000;125.0900000;2569184
US1.AAPL;D;03/06/21;000000;124.6300000;124.8500000;123.1400000;123.5500000;3187672
US1.AAPL;D;04/06/21;000000;124.0700000;126.1500000;123.8600000;125.8600000;3235599
US1.AAPL;D;07/06/21;000000;126.1800000;126.3100000;124.8400000;125.9400000;3106377
US1.AAPL;D;08/06/21;000000;126.6500000;128.4500000;126.2400000;126.7500000;3274670
US1.AAPL;D;09/06/21;000000;127.2100000;127.7400000;126.5300000;127.1700000;2647751
US1.AAPL;D;10/06/21;000000;127.0300000;128.1900000;125.9400000;126.1000000;3889176
US1.AAPL;D;11/06/21;000000;126.5100000;127.4400000;126.1000000;127.3600000;2888857
US1.AAPL;D;14/06/21;000000;127.8200000;130.4900000;127.0700000;130.4900000;4146657
US1.AAPL;D;15/06/21;000000;129.9400000;130.5950000;129.3900000;129.7500000;3056746
US1.AAPL;D;16/06/21;000000;130.3700000;130.8900000;128.4700000;130.1400000;4673866
US1.AAPL;D;17/06/21;000000;129.8000000;132.5400000;129.6500000;131.7900000;5372339
US1.AAPL;D;18/06/21;000000;130.7100000;131.5000000;130.2500000;130.4000000;4894397
US1.AAPL;D;21/06/21;000000;130.3600000;132.4000000;129.2200000;132.2900000;3873925
US1.AAPL;D;22/06/21;000000;132.1200000;134.0800000;131.6300000;133.9700000;3674772
US1.AAPL;D;23/06/21;000000;133.7800000;134.3100000;133.2350000;133.6900000;2580990
US1.AAPL;D;24/06/21;000000;134.4500000;134.6300000;132.9300000;133.4000000;3418597
US1.AAPL;D;25/06/21;000000;133.4600000;133.8800000;132.8100000;133.1200000;2634179
US1.AAPL;D;28/06/21;000000;133.4200000;135.2400000;133.3700000;134.7400000;3187628
US1.AAPL;D;29/06/21;000000;134.7600000;136.4900000;134.3600000;136.3300000;3504171
US1.AAPL;D;30/06/21;000000;136.1700000;137.4000000;135.8800000;136.9200000;3342377
US1.AAPL;D;01/07/21;000000;136.5600000;137.3200000;135.7700000;137.2600000;2982095
US1.AAPL;D;02/07/21;000000;137.9400000;140.0000000;137.7500000;139.9600000;4893574
US1.AAPL;D;06/07/21;000000;140.1100000;143.1400000;140.0900000;142.0000000;5359356
US1.AAPL;D;07/07/21;000000;143.5350000;144.8900000;142.6700000;144.6100000;5020137
US1.AAPL;D;08/07/21;000000;141.6500000;144.0500000;140.6650000;143.3100000;5058748
US1.AAPL;D;09/07/21;000000;142.7500000;145.6400000;142.6550000;145.0800000;5475849
US1.AAPL;D;12/07/21;000000;146.2100000;146.3100000;144.0100000;144.5100000;3133516
US1.AAPL;D;13/07/21;000000;144.0600000;147.4500000;143.6900000;145.7000000;4614775
US1.AAPL;D;14/07/21;000000;148.1000000;149.5700000;147.6800000;149.2500000;5823752
US1.AAPL;D;15/07/21;000000;149.2400000;150.0000000;147.1300000;148.4800000;5229342
US1.AAPL;D;16/07/21;000000;148.4600000;149.7500000;145.8800000;146.3500000;3892775
US1.AAPL;D;19/07/21;000000;143.6900000;144.0700000;141.6750000;142.5200000;5488391
US1.AAPL;D;20/07/21;000000;143.4600000;147.0900000;142.9600000;146.1400000;4196580
US1.AAPL;D;21/07/21;000000;145.5300000;146.1200000;144.6300000;145.3800000;3087589
US1.AAPL;D;22/07/21;000000;145.9350000;148.1900000;145.8200000;146.8000000;3237798
US1.AAPL;D;23/07/21;000000;147.5500000;148.7100000;146.9300000;148.5600000;3406500
US1.AAPL;D;26/07/21;000000;148.2700000;149.8200000;147.7100000;148.9800000;2856313
US1.AAPL;D;27/07/21;000000;149.1000000;149.2100000;145.5500000;146.7800000;4412838
US1.AAPL;D;28/07/21;000000;144.8400000;146.9600000;142.5500000;144.9800000;5003663
US1.AAPL;D;29/07/21;000000;144.6500000;146.5500000;144.5900000;145.6200000;2776839
US1.AAPL;D;30/07/21;000000;144.4100000;146.3200000;144.1300000;145.8600000;3360405
US1.AAPL;D;02/08/21;000000;146.3600000;146.9400000;145.2600000;145.5400000;2831932
US1.AAPL;D;03/08/21;000000;145.7700000;148.0400000;145.1800000;147.3500000;3259510
US1.AAPL;D;04/08/21;000000;147.2700000;147.7800000;146.2800000;146.9600000;2847672
US1.AAPL;D;05/08/21;000000;146.9800000;147.8200000;146.1900000;147.0600000;2389028
US1.AAPL;D;06/08/21;000000;146.3500000;147.1000000;145.6300000;146.1200000;2566764
US1.AAPL;D;09/08/21;000000;146.2500000;146.7000000;145.5200000;146.1400000;1902242
US1.AAPL;D;10/08/21;000000;146.4400000;147.7100000;145.3000000;145.6200000;2775343
US1.AAPL;D;11/08/21;000000;146.0600000;146.7000000;145.5300000;145.9100000;2289525
US1.AAPL;D;12/08/21;000000;146.1900000;149.0450000;145.8500000;148.8800000;3744642
US1.AAPL;D;13/08/21;000000;149.0000000;149.4400000;148.2700000;149.0900000;2569341
US1.AAPL;D;16/08/21;000000;148.6100000;151.1200000;146.4800000;151.1200000;4573495
US1.AAPL;D;17/08/21;000000;150.2500000;151.6700000;149.1000000;150.2600000;4201952
US1.AAPL;D;18/08/21;000000;149.8900000;150.7100000;146.1500000;146.3600000;4448250
US1.AAPL;D;19/08/21;000000;145.0900000;148.0000000;144.5200000;146.7000000;4491357
US1.AAPL;D;20/08/21;000000;147.4500000;148.5000000;146.8000000;148.1900000;3195912
US1.AAPL;D;23/08/21;000000;148.2800000;150.1800000;147.8900000;149.7000000;2428424
US1.AAPL;D;24/08/21;000000;149.4700000;150.8600000;149.1600000;149.6300000;2404198
US1.AAPL;D;25/08/21;000000;149.8100000;150.3000000;147.8100000;148.3400000;2591140
US1.AAPL;D;26/08/21;000000;148.3900000;149.1100000;147.5200000;147.5500000;2758712
US1.AAPL;D;27/08/21;000000;147.3700000;148.7400000;146.8400000;148.6000000;2733012
US1.AAPL;D;30/08/21;000000;149.0500000;153.4900000;148.6400000;153.1100000;4751535
US1.AAPL;D;31/08/21;000000;152.6800000;152.7900000;151.2900000;151.8300000;4146427
US1.AAPL;D;01/09/21;000000;152.8100000;154.9800000;152.3400000;152.5400000;3618287
US1.AAPL;D;02/09/21;000000;153.8700000;154.7200000;152.4000000;153.7000000;3099612
US1.AAPL;D;03/09/21;000000;153.7600000;154.6200000;153.1000000;154.3700000;2507847
US1.AAPL;D;07/09/21;000000;154.9800000;157.2600000;154.4000000;156.7000000;3987084
US1.AAPL;D;08/09/21;000000;156.9900000;157.0300000;153.9800000;155.1100000;3529373
US1.AAPL;D;09/09/21;000000;155.4900000;156.1100000;153.9500000;154.1200000;2511921
US1.AAPL;D;10/09/21;000000;154.9900000;155.4800000;148.7100000;149.0000000;7552188
US1.AAPL;D;13/09/21;000000;150.6300000;151.4100000;148.7500000;149.6200000;5263486
US1.AAPL;D;14/09/21;000000;150.3500000;151.0600000;146.9100000;148.1800000;5065959
US1.AAPL;D;15/09/21;000000;148.5600000;149.4300000;146.3800000;149.0900000;3809911
US1.AAPL;D;16/09/21;000000;148.4400000;148.9700000;147.2300000;148.8600000;4252823
US1.AAPL;D;17/09/21;000000;148.8200000;148.8200000;145.7600000;146.0000000;5044902
US1.AAPL;D;20/09/21;000000;143.7800000;144.8300000;141.2700000;143.0100000;6428984
US1.AAPL;D;21/09/21;000000;143.9900000;144.6000000;142.7800000;143.4000000;3790720
US1.AAPL;D;22/09/21;000000;144.4500000;146.4200000;143.7100000;145.8000000;3656472
US1.AAPL;D;23/09/21;000000;146.6600000;147.0800000;145.6500000;146.7500000;3134808
US1.AAPL;D;24/09/21;000000;145.6600000;147.4700000;145.5700000;146.9300000;2836770
US1.AAPL;D;27/09/21;000000;145.4000000;145.9600000;143.8300000;145.3900000;3504880
US1.AAPL;D;28/09/21;000000;143.1900000;144.7500000;141.7000000;141.9500000;5602142
US1.AAPL;D;29/09/21;000000;142.4700000;144.4500000;142.0300000;142.8600000;3205269
US1.AAPL;D;30/09/21;000000;143.6700000;144.3700000;141.2900000;141.3600000;4102531
US1.AAPL;D;01/10/21;000000;141.8900000;142.9100000;139.1300000;142.4200000;4233615
